Gene,Si,Koni,Koffi,SKoffi,Exi
PF3D7-1432200,0.000286,137.791149,56.72436,6e-06,0.000203
PF3D7-1432300,0.000432,65.797905,49.363837,9e-06,0.000241
PF3D7-1432400,0.000297,107.339392,40.159523,8e-06,0.000213
PF3D7-1432500,0.001028,177.168928,80.660876,1.3e-05,0.000688
PF3D7-1432600,0.000534,70.076815,45.635375,1.2e-05,0.000321
PF3D7-1432700,0.001182,184.073479,218.400257,5e-06,0.000537
PF3D7-1432800,0.000901,150.020161,169.702953,5e-06,0.000411
PF3D7-1432900,0.000903,150.087997,87.757317,1.2e-05,0.000567
PF3D7-1433000,0.002662,115.918095,38.708503,7e-05,0.001984
PF3D7-1433100,0.00049,175.691002,97.503747,5e-06,0.000312
PF3D7-1433200,0.000374,197.275509,92.772342,4e-06,0.000253
PF3D7-1433300,0.000771,146.747636,44.084388,1.8e-05,0.000587
PF3D7-1433400,0.000241,9.931943,12.543372,2e-05,0.000107
PF3D7-1433500,0.00868,0.8679,3.11024,0.0028,0.001895
PF3D7-1433700,0.000334,160.928736,208.06711,2e-06,0.000146
PF3D7-1433600,0.001817,103.885733,58.141405,3.2e-05,0.001131
PF3D7-1433800,0.000185,161.787617,85.775111,2e-06,0.00012
PF3D7-1433900,0.000291,154.144618,119.5343,2e-06,0.000163
PF3D7-1434000,0.001554,80.463625,45.268365,4e-05,0.00099
PF3D7-1434100,0.000786,164.177079,69.52266,1.2e-05,0.00055
PF3D7-1434200,0.000895,126.909373,160.387527,6e-06,0.000396
PF3D7-1434300,0.000795,105.622603,90.088815,9e-06,0.00043
PF3D7-1434400,0.000736,225.027418,60.85838,1.3e-05,0.000578
PF3D7-1434500,0.000529,2.460452,3.484314,0.000153,0.000219
PF3D7-1434600,0.001059,54.914281,45.516444,2.4e-05,0.000568
PF3D7-1434700,0.000756,128.659555,63.080216,1.3e-05,0.000501
PF3D7-1434800,0.001197,118.80666,158.496119,8e-06,0.000511
PF3D7-1434900,0.001632,105.658513,56.792099,3e-05,0.001039
PF3D7-1435000,0.001342,161.499337,255.867996,6e-06,0.000522
PF3D7-1435100,0.001351,177.665019,172.812853,8e-06,0.000685
PF3D7-1435200,0.000647,182.741297,81.646521,8e-06,0.000446
PF3D7-1435300,0.000299,35.498577,34.026732,9e-06,0.00015
PF3D7-1435400,0.001092,159.359682,83.394367,1.4e-05,0.000711
PF3D7-1435500,0.000949,182.718359,97.322108,1e-05,0.00062
PF3D7-1435600,0.000227,147.781894,43.347783,5e-06,0.000175
PF3D7-1435700.1,0.000323,308.442938,137.148067,2e-06,0.000221
PF3D7-1435700.2,0.00057,105.208401,51.767121,1.2e-05,0.000383
PF3D7-1435800,0.000693,238.223762,76.238917,9e-06,0.000523
PF3D7-1435900,0.0011,137.431936,67.930711,1.7e-05,0.000722
PF3D7-1436000,0.000765,46.249125,46.627145,1.7e-05,0.000377
PF3D7-1436100,0.000343,111.61475,66.936231,5e-06,0.000214
PF3D7-1436200,0.0003,128.052122,104.543112,3e-06,0.000163
PF3D7-1436300,0.02023,0.886657,4.503494,0.004507,0.003331
PF3D7-1436400,0.000351,138.256273,37.348333,1e-05,0.000275
PF3D7-1436500,0.001104,134.225434,106.79367,1.1e-05,0.000605
PF3D7-1436600,0.000732,131.643077,125.970651,6e-06,0.000371
PF3D7-1436700,0.000475,158.482239,93.42654,5e-06,0.000299
PF3D7-1436800,0.001591,124.63825,88.982995,1.8e-05,0.000923
PF3D7-1436900,0.001295,118.252413,100.498478,1.5e-05,0.000707
PF3D7-1437000,0.001361,155.963937,177.792871,8e-06,0.000636
PF3D7-1437100,0.001501,207.152872,165.660242,1e-05,0.000826
PF3D7-1437200,0.000446,97.148004,78.231794,6e-06,0.000242
PF3D7-1437300,0.000824,156.127357,91.645864,9e-06,0.000517
PF3D7-1437400,0.000837,107.045996,116.917912,7e-06,0.00039
PF3D7-1437500,0.002138,200.825248,128.801825,1.8e-05,0.001302
PF3D7-1437600,0.000804,160.713398,99.815714,8e-06,0.000493
PF3D7-1437700,0.000451,134.321016,59.635247,8e-06,0.000305
PF3D7-1437800,0.001033,96.110108,127.090923,9e-06,0.000447
PF3D7-1437900,0.002006,5.242153,6.395811,0.000317,0.000904
PF3D7-1438000,0.000977,55.674724,48.98136,2.1e-05,0.000513
PF3D7-1438100,0.000781,143.143335,45.311251,1.8e-05,0.000587
PF3D7-1438300,0.02959,115.125216,131.991174,0.000229,0.013814
PF3D7-1438400,0.000237,196.088406,78.531782,3e-06,0.000166
PF3D7-1438500,0.000687,86.846973,84.624979,8e-06,0.000346
PF3D7-1438600,0.00109,167.459182,195.623672,6e-06,0.000502
PF3D7-1438700,0.000925,130.529175,51.599742,1.9e-05,0.000661
PF3D7-1438800,0.000711,127.121287,159.315752,5e-06,0.000316
PF3D7-1438900,0.002392,36.757564,40.511084,6.1e-05,0.001134
PF3D7-1439000,0.000761,117.679387,42.15125,1.9e-05,0.000558
PF3D7-1439100,0.000214,204.028218,65.471762,3e-06,0.000161
PF3D7-1439200,0.000508,151.364411,85.042667,6e-06,0.000319
PF3D7-1439300,0.000795,32.600584,35.729999,2.5e-05,0.000376
PF3D7-1439400,0.000866,123.607417,119.644966,7e-06,0.000438
PF3D7-1439500,0.001636,3.81279,5.009189,0.000329,0.000707
PF3D7-1439600,0.000995,165.858694,39.688703,2.6e-05,0.000792
PF3D7-1439700,0.000546,153.27909,80.538123,7e-06,0.000356
PF3D7-1439800,0.001018,106.526469,84.450955,1.2e-05,0.000566
PF3D7-1439900,0.001128,146.791535,108.298545,1.1e-05,0.000653
PF3D7-1440000,0.000266,165.077239,127.743736,2e-06,0.00015
PF3D7-1440100,0.000487,111.128763,89.282088,6e-06,0.000272
PF3D7-1440200,0.000273,169.72448,54.684047,6e-06,0.000203
PF3D7-1440300,0.000651,162.323407,52.004703,1.3e-05,0.00049
PF3D7-1440400,0.000344,95.345082,63.293717,6e-06,0.000206
PF3D7-1440500,0.001012,149.333269,210.466613,5e-06,0.000425
PF3D7-1440600,0.00098,220.65207,158.67285,6e-06,0.00057
PF3D7-1440700,0.000359,97.763816,34.082366,1.1e-05,0.000265
PF3D7-1440800,0.000489,208.528185,54.784097,1e-05,0.000385
PF3D7-1440900,0.001594,193.779402,186.192911,9e-06,0.000801
PF3D7-1441000,0.00072,108.099881,78.514399,9e-06,0.000414
PF3D7-1441100,0.001135,23.336284,28.160698,4.4e-05,0.000515
PF3D7-1441200,0.001323,128.090876,168.972791,8e-06,0.000572
PF3D7-1441300,0.000323,166.194132,166.768294,2e-06,0.000154
PF3D7-1441400,0.000873,133.223489,141.784994,6e-06,0.000419
PF3D7-1441500,0.00063,192.424262,45.799147,1.4e-05,0.000501
PF3D7-1441600,0.000938,127.318841,123.951192,8e-06,0.000471
PF3D7-1441700,0.001018,178.714322,113.721657,9e-06,0.000618
PF3D7-1441800,0.001639,194.463713,211.304679,8e-06,0.000782
PF3D7-1441900,0.002122,94.548266,86.141753,2.5e-05,0.001107
